element_id,cluster,element,captures,stated_constraint,cyclonedx_1_7_paths,cyclonedx_fit,spdx_3_0_1_paths,spdx_fit,note
models.model-description,Models,Model description,"Capabilities, known limitations, and lineage including the predecessor model.",Free.,components[].description; modelCard.considerations.technicalLimitations[]; pedigree.ancestors[],partial,Element.description; AIPackage.limitation; AIPackage.informationAboutTraining; ancestorOf relationship,partial,"LINEAGE IS THE PROBLEM. CycloneDX pedigree is structured but generic. SPDX 3.0.1 has no base-model edge at all, and even 3.1-dev's finetunedOn points at a dataset, not a parent model. 'This was fine-tuned from Llama 3' has no interoperable representation in either format."
models.model-hash-value,Models,Model hash value,Hash of the weights or model file.,ASCII-formatted value.,components[].hashes[].content,direct,Element.verifiedUsing -> Hash.hashValue,direct,
models.model-hash-algorithm,Models,Model hash algorithm,Algorithm that produced the hash.,IANA Hash Function Textual Names. NIST-approved.,"components[].hashes[].alg (closed enum: MD5, SHA-1, SHA-256/384/512, SHA3-*, BLAKE2b-*, BLAKE3)",partial,Hash.algorithm (SPDX HashAlgorithm vocabulary),partial,"NEITHER FORMAT USES IANA NAMES. Both have their own closed enums. A conformance checker has to map IANA names onto each format's vocabulary, and the sets do not fully overlap."
models.model-properties,Models,Model properties,"Architecture, parameter count, network type, hyperparameters. Explicitly nestable.",May contain sub-elements.,"modelCard.modelParameters.approach.type (enum: supervised, unsupervised, reinforcement-learning, semi-supervised, self-supervised), .task, .architectureFamily, .modelArchitecture; plus cdx:ai-ml:model:parameter:count and :hyperparameter:* taxonomy",direct,AIPackage.typeOfModel (0..*); AIPackage.hyperparameter[] (DictionaryEntry key/value strings),direct,CycloneDX is richer via the property taxonomy but the taxonomy sits outside the schema. SPDX hyperparameters are untyped strings with no units.
models.model-input-output-properties,Models,Model input-output properties,"Input and output types, context length, modality, tokenizer.",Free.,modelCard.modelParameters.inputs[].format / outputs[].format only,partial,No dedicated property,none,Context length and modality have no schema home in either format. CycloneDX puts modality in the taxonomy (cdx:ai-ml:model:modality); context length only as a hyperparameter property.
models.model-training-properties,Models,Model training properties,"All training: pre-training, fine-tuning, continual learning, RLHF, DPO, PPO, GRPO.","Free, link to model card.","modelCard.modelParameters.approach.type; formulation[].workflows[] for the training run; cdx:ai-ml:model:parameter:tune_method (full, sft, rlhf, adapter, prompt, lora, alora, qlora)",partial,AIPackage.informationAboutTraining (free text); trainedOn relationship,partial,"CycloneDX formulation can model the actual training run as a workflow. SPDX models it as a Build. Both are possible, neither is conventional, and no two producers will do it the same way."
models.model-license,Models,Model license,"Licence type, and whether open weight, open architecture, open data or open training.","Link to licence doc, or the SPDX/CDX licence fields.",components[].licenses[] (SPDX expression),partial,hasDeclaredLicense and hasConcludedLicense relationships (exactly one of each REQUIRED on an AIPackage),partial,OPEN-WEIGHT VOCABULARY IS MISSING EVERYWHERE. Neither format has any way to say open weight vs open architecture vs open data vs open training. This is a named requirement with no representation.
models.model-external-references,Models,Model external references,"Links to model cards, system cards, papers, documentation.",Link/URL.,"components[].externalReferences[] (47-value type enum incl. model-card, documentation, attestation, threat-model, adversary-model, risk-assessment, certification-report, pentest-report)",direct,Element.externalRef[],direct,CycloneDX has a dedicated model-card reference type. SPDX external refs are less typed.
datasets-properties.dataset-name,Datasets Properties,Dataset name,Name given by the dataset creator.,Free.,componentData.name; or components[].name with type: data,direct,DatasetPackage.name,direct,
datasets-properties.dataset-description,Datasets Properties,Dataset description,"What the dataset is for: pre-training, fine-tuning, benchmark, evaluation. Public or private.",Free.,componentData.description,direct,Element.description; DatasetPackage.intendedUse,direct,
datasets-properties.dataset-content,Datasets Properties,Dataset content,"What is in it and in what shape: financial, medical, image, audio, JSON, XML.",Free.,"componentData.type (enum: source-code, configuration, dataset, definition, other); .contents.{attachment,url,properties}",partial,"DatasetPackage.datasetType (14-value enum: audio, categorical, graph, image, noAssertion, numeric, other, sensor, structured, syntactic, text, timeseries, timestamp, video); .datasetSize (bytes)",direct,"SPDX is clearly better. Its 14-value datasetType is the only real content vocabulary in either format, and it is the ONLY required property in the whole SPDX AI/Dataset surface (minCount 1)."
datasets-properties.dataset-identifier,Datasets Properties,Dataset identifier,Unique identification of the dataset.,"URL, URI.",componentData.bom-ref; components[].purl,direct,Element.spdxId; externalIdentifier[]; Package.downloadLocation,direct,
datasets-properties.dataset-hash,Datasets Properties,Dataset hash,Hash over the dataset file.,No algorithm field is defined (unlike Models).,components[].hashes[] on the wrapping component only,partial,Element.verifiedUsing -> Hash,direct,"TRAP: CycloneDX componentData has NO hash property of its own. You can only hash the wrapping component. Also note the spec itself omits a Dataset hash algorithm element, which is an asymmetry with the Models cluster."
datasets-properties.dataset-provenance,Datasets Properties,Dataset provenance,"Origin, collection method (web crawl, commercial agreement), post-processing, curation, labelling, creator, synthetic-data method.",Free.,"componentData.governance.{custodians,stewards,owners}; .contents.url; formulation[] for the pipeline",partial,DatasetPackage.dataCollectionProcess; .dataPreprocessing (0..*); .anonymizationMethodUsed; Artifact.originatedBy,direct,SPDX has purpose-built fields for collection and preprocessing. CycloneDX has stewardship roles SPDX lacks. Neither has a synthetic-data-method field.
datasets-properties.dataset-statistical-properties,Datasets Properties,Dataset statistical properties,"Mean, variance, median, mode, range, skewness across the dataset lifecycle.",Free.,componentData.properties[] or .graphics,properties-only,No property,none,REAL GAP IN BOTH. No statistical characterisation exists anywhere in either format. Nearest is SPDX datasetNoise (free text) and CycloneDX graphics (base64 images).
datasets-properties.dataset-sensitivity,Datasets Properties,Dataset sensitivity,"Whether it contains PII, freely accessible, copyright-protected, sensitive (financial, medical) or national-security data.",Free.,componentData.sensitiveData[] (free-text array); .classification (unconstrained string),partial,"DatasetPackage.hasSensitivePersonalInformation (PresenceType: yes/no/noAssertion); .confidentialityLevel (TLP: red, amber, green, clear)",partial,"SPDX has controlled vocabularies, CycloneDX has none. But NEITHER covers copyright-protected or national-security categories, which the spec names explicitly. SPDX 3.1-dev adds amberStrict."
datasets-properties.dataset-dependency-relationship,Datasets Properties,Dataset dependency relationship,"Software used to create, modify and maintain the dataset. Derivation from another dataset.",Free.,dependencies[] on the data component; formulation[].components[] for the tooling,partial,"Relationship: dependsOn, usesTool, ancestorOf; Build profile for the pipeline",partial,"Both express it, neither conventionally."
datasets-properties.dataset-license,Datasets Properties,Dataset license,Licence type of the dataset.,Link to licence doc.,components[].licenses[],direct,hasDeclaredLicense and hasConcludedLicense (exactly one each REQUIRED on a DatasetPackage),direct,
infrastructure.infrastructure-software,Infrastructure,Infrastructure software,"Firmware, package managers, third-party libraries, frameworks, runtimes, tools needed to run the system.",Free.,components[] of type library/framework/container/operating-system + dependencies[]; formulation[].components[],direct,Relationship dependsOn / usesTool; Build profile,direct,
infrastructure.infrastructure-hardware,Infrastructure,Infrastructure hardware,Link to an existing HBOM covering the hardware the system runs on.,Link to an HBOM.,externalReferences[].type: 'bom' with a BOM-Link URN; components[].type: 'device',partial,No Hardware profile in 3.0.1 (arrives in 3.1-dev with runsOn),none,"SPDX 3.0.1 cannot express hardware at all. CycloneDX can link a separate BOM but has no HBOM profile either. Note OMB M-26-05 now makes agencies inventory hardware as well as software, so this gap has a buyer."
security-properties.security-controls,Security Properties,Security controls,"General controls (encryption, data minimisation, differential privacy, access control, API auth, anomaly detection) AND AI-specific controls (adversarial robustness training, prompt injection controls, I/O filters, training-data curation).","Free, may link to a framework.",properties[] under a private namespace; externalReferences[].type: threat-model / adversary-model / risk-assessment; declarations[] (CDXA) against definitions.standards[],properties-only,Extension profile; AIPackage.standardCompliance (partial),properties-only,"THE BIGGEST GAP ON THIS SHEET. Neither format has ANY field for adversarial robustness, prompt injection resistance, jailbreak resistance, data poisoning, watermarking, guardrails or red-teaming. Zero hits for all of those terms in both schemas. This is unclaimed territory."
security-properties.security-compliance,Security Properties,Security compliance,"Certification schemes, standards or frameworks the model or system complies with.",Free.,declarations[] (CDXA); externalReferences[].type: certification-report,partial,"AIPackage.standardCompliance (xsd:string, 0..*)",direct,SPDX has a plain field. CycloneDX requires the heavier Attestations construct.
security-properties.cybersecurity-policy-information,Security Properties,Cybersecurity policy information,Link to the producer's published security.txt.,URL to a security.txt file.,externalReferences[] with an appropriate type,partial,"Element.externalRef[] (securityAdvisory, securityOther)",partial,Neither has a security.txt reference type by name. Nearest fit only.
security-properties.vulnerability-referencing,Security Properties,Vulnerability referencing,Link to databases or repositories showing exploitability of known vulnerabilities.,Static link/URL.,"vulnerabilities[] (CVE, CWE, CVSS ratings, VEX analysis state); externalReferences[].type: vulnerability-assertion",direct,"Security profile: Vulnerability, VulnAssessmentRelationship, VEX relationships, CVSS v2/v3/v4, EPSS, SSVC",direct,"Both strong, but both are CVE-shaped. Neither can express a model-level attack surface, only vulnerabilities in software dependencies."
key-performance-indicators.security-metrics,Key Performance Indicators,Security metrics,"Metrics for the security characteristics of the models or the system, such as robustness benchmarks.",Free.,"modelCard.quantitativeAnalysis.performanceMetrics[] (type free text, value is a STRING, optional slice and confidence interval)",properties-only,"AIPackage.metric[] (DictionaryEntry: string key, string value)",properties-only,"Untyped in both. No units, no thresholds beyond SPDX metricDecisionThreshold, no security semantics. And in CycloneDX there is NO field linking a metric to the dataset it was measured on."
key-performance-indicators.operational-performance-kpis,Key Performance Indicators,Operational performance KPIs,"Uptime, incident resolution time, latency, request throughput, load balancing.",Free.,properties[] only,properties-only,AIPackage.metric[] only,properties-only,"REAL GAP IN BOTH. No operational-telemetry concept exists in either format. This is arguably out of scope for a static BOM, and worth saying so."
